username,rank_num,star_num
guillaumepotier,533,11476
eczarny,534,11372
briangonzalez,535,11362
bgrins,536,11358
hadley,537,11345
leandromoreira,538,11342
Rich-Harris,539,11327
sirupsen,540,11315
jpetazzo,541,11287
hilongjw,542,11262
allenwong,543,11251
kimmobrunfeldt,544,11205
rovo89,545,11194
zyedidia,546,11179
imathis,547,11107
davezuko,548,11098
arasatasaygin,549,11092
Zulko,550,11078
leemunroe,551,11053
mwaterfall,552,11045
markets,553,11042
philc,554,11039
gztchan,555,11031
rbgirshick,556,11015
janpaepke,557,11014
xuxueli,558,11011
kripken,559,10997
tuupola,560,10992
xdissent,561,10990
horst3180,562,10955
chrisvfritz,563,10947
SBoudrias,564,10943
nsf,565,10883
wesm,566,10882
YoKeyword,567,10870
brettwooldridge,568,10861
sockeqwe,569,10825
jakearchibald,570,10817
frogermcs,571,10812
gabrielemariotti,572,10797
offensive-security,573,10780
KrauseFx,574,10763
veltman,575,10750
summerblue,576,10749
mscdex,577,10741
Matt-Esch,578,10729
lipis,579,10680
louischatriot,580,10657
DanMcInerney,581,10645
insin,582,10610
jackmoore,583,10602
ericdouglas,584,10593
henrylee2cn,585,10584
KittenYang,586,10578
benoitc,587,10562
soulwire,588,10555
Valve,589,10544
amark,590,10538
jlord,591,10531
kdeldycke,591,10531
tonybeltramelli,593,10526
fastred,594,10488
gabrielecirulli,595,10444
ideawu,596,10440
gre,597,10428
jverkoey,598,10426
kesenhoo,599,10410
johnlui,600,10395
mcxtzhang,601,10375
Swordfish90,602,10355
wyouflf,603,10346
ksoichiro,604,10332
haoel,605,10289
julienschmidt,606,10282
sorin-ionescu,607,10281
mcollina,608,10269
dcodeIO,609,10268
sameersbn,610,10263
evanw,611,10222
yannickl,612,10218
Kapeli,613,10214
brianc,614,10193
Russell91,615,10181
wting,616,10166
stedolan,617,10162
lukehaas,618,10133
ncase,619,10108
markyun,620,10093
naman14,621,10085
jnunemaker,622,10082
rtfeldman,623,10072
notwaldorf,624,10020
12207480,625,10009
gnab,626,9983
cowboy,627,9972
qrohlf,628,9969
sintaxi,629,9961
h4cc,630,9959
trentm,631,9940
ameizi,632,9871
travisjeffery,633,9869
javve,634,9866
warner,635,9861
dhamaniasad,636,9847
mgcrea,637,9830
dodola,638,9823
auduno,639,9806
rengwuxian,640,9777
diegohaz,641,9776
stephencelis,642,9762
Idnan,643,9749
tgriesser,644,9736
stefanpenner,645,9728
humiaozuzu,646,9716
MatthewYork,647,9713
markdalgleish,648,9699
jayphelps,649,9681
gabrielbull,650,9676
tylertreat,651,9657
unconed,652,9638
rentzsch,653,9628
cyrus-and,654,9625
AliSoftware,655,9602
amoffat,656,9581
hangtwenty,657,9568
fnando,658,9567
kartik-v,659,9479
azat-co,660,9461
chrisjenx,661,9457
bradfitz,662,9442
aphyr,663,9428
utatti,664,9418
mgonto,665,9417
dangrossman,666,9414
revolunet,667,9408
cwRichardKim,668,9407
matthieua,669,9395
mgp25,670,9373
orangeduck,671,9352
leecade,672,9336
connors,673,9321
mame,674,9316
hughsk,675,9295
Urinx,676,9270
laruence,677,9263
joke2k,678,9262
cferdinandi,679,9245
qyuhen,680,9223
zzz40500,681,9222
bradfrost,682,9221
perwendel,683,9198
krzyzanowskim,684,9189
johnpolacek,685,9175
navasmdc,686,9167
cymcsg,687,9140
irungentoo,688,9103
tmm1,689,9099
davecheney,690,9073
allinurl,691,9071
erica,692,9040
jschr,693,9029
tylermcginnis,694,9000
EddyVerbruggen,694,9000
ArtSabintsev,696,8992
krisk,697,8991
afaqurk,698,8971
Yomguithereal,699,8960
jakesgordon,700,8959
pedant,701,8925
moklick,702,8920
schneems,703,8917
sbstjn,704,8912
schacon,705,8907
glomadrian,706,8897
webpro,707,8896
biezhi,708,8887
evant,709,8881
a8m,710,8853
nixzhu,711,8851
jmoiron,712,8843
hanks-zyh,713,8819
mixu,714,8811
jacomyal,715,8810
orta,716,8807
shichuan,717,8803
streamich,718,8801
xetorthio,719,8795
HenrikJoreteg,720,8791
ellisonleao,721,8787
indutny,722,8779
vladikoff,723,8776
nekocode,724,8775
DataTables,724,8775
BYVoid,726,8765
serbanghita,727,8751
larsenwork,728,8742
kylemcdonald,729,8741
tbranyen,730,8740
GitSquared,731,8724
nhaarman,732,8713
siddharthkp,733,8706
carhartl,734,8684
arut,735,8680
octalmage,736,8662
kolodny,737,8656
hacksalot,738,8651
gnachman,739,8646
JeffreyWay,740,8622
emilsjolander,741,8615
onurakpolat,742,8600
codelucas,743,8599
baoyongzhang,744,8598
codeguy,745,8597
ltebean,746,8589
eduardolundgren,747,8568
purcell,747,8568
relatedcode,749,8544
willianjusten,750,8525
lra,751,8521
ejci,752,8518
andreis,753,8499
munificent,753,8499
JoanZapata,755,8487
daltoniam,756,8480
michaelvillar,757,8462
assaf,758,8456
kristoferjoseph,759,8446
mre,760,8420
rtomayko,761,8413
mpociot,762,8390
muan,763,8386
MarshallOfSound,764,8380
javan,765,8359
una,766,8352
honcheng,767,8339
lucasr,768,8309
blakeembrey,769,8303
FredrikNoren,770,8299
singwhatiwanna,771,8267
sivel,772,8258
ubuwaits,773,8240
bahmutov,774,8225
piotrmurach,775,8218
binarylogic,776,8217
stephenmcd,777,8175
taye,778,8155
kangax,779,8151
kymjs,780,8150
jorgebastida,780,8150
kornelski,782,8138
amsul,783,8127
jspahrsummers,784,8118
mmcgrana,785,8112
traex,786,8107
cesarferreira,787,8086
danialfarid,788,8074
xhzengAIB,789,8040
danluu,790,8039
qiao,791,8038
mroth,792,8034
contra,793,8031
gotwarlost,794,8014
oldratlee,795,8006
lloyd,796,7958
jeremyevans,797,7956
davidhalter,798,7941
ogaclejapan,799,7920
jtleek,800,7911
davidmerfield,801,7907
kamens,802,7895
HannahMitt,803,7891
ztellman,804,7885
cyfdecyf,805,7884
terryma,806,7876
MoOx,807,7875
AHAAAAAAA,808,7856
webkul,809,7854
ericelliott,810,7853
gavinkwoe,811,7851
ColinEberhardt,812,7843
swannodette,813,7813
ornicar,814,7798
mmin18,815,7786
gleitz,816,7778
stympy,817,7766
mbleigh,818,7759
bkeepers,819,7728
gka,820,7719
ryanflorence,821,7711
aheckmann,822,7697
CEWendel,823,7694
jwiegley,824,7686
sosedoff,825,7677
tianzhijiexian,826,7658
bitemyapp,827,7655
yujiangshui,828,7653
ashfurrow,829,7649
cheeaun,830,7644
jnordberg,831,7637
andreypopp,832,7630
jingweno,833,7629
sitaramc,834,7626
nathansmith,835,7619
danielamitay,836,7618
guarinogabriel,837,7591
kkga,837,7591
Zizaco,839,7590
DennisYurichev,840,7587
vmg,841,7585
jdan,842,7577
evancz,843,7566
MugunthKumar,844,7542
vczero,845,7536
magnars,846,7534
flavienlaurent,847,7532
andymccurdy,848,7515
technoweenie,849,7507
kstenerud,850,7482
wbond,851,7477
icanzilb,852,7469
pkluz,853,7468
kaushikgopal,854,7441
kien,855,7418
fronteed,856,7408
juliangruber,857,7401
yuche,858,7384
lebinh,859,7375
rgrove,860,7372
amatsuda,861,7366
bramp,862,7363
yoshuawuyts,863,7334
adamschwartz,864,7326
olivernn,865,7325
huacnlee,866,7324
